"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Glynn, Wexford Division",2,5,3,4,4,1
" ","Gob an Choire, Mayo Division",11,3,1,3,5,1
" ","Golden, Tipperary Division",3,2,1,1,1,1
" ","Goresbridge, Kilkenny/Carlow Division",13,9,19,6,12,9
" ","Gorey, Wexford Division",260,250,321,234,192,133
" ","Gort, Galway Division",101,50,54,58,58,34
" ","Graiguenamanagh, Kilkenny/Carlow Division",28,26,37,17,24,26
" ","Granard, Roscommon/Longford Division",27,47,33,27,15,14
" ","Grange, Sligo/Leitrim Division",4,3,6,7,7,7
" ","Greystones, Wicklow Division",157,145,119,114,78,66
" ","Gurranabraher, Cork City Division",527,450,438,379,333,294
" ","Gurteen, Sligo/Leitrim Division",4,7,8,5,3,6
" ","Hackballscross, Louth Division",5,6,6,7,2,1
" ","Hacketstown, Kilkenny/Carlow Division",3,4,3,6,2,3
" ","Headford, Galway Division",5,4,2,5,6,10
" ","Henry Street, Limerick Division",1188,1308,1348,1242,1114,969
" ","Holycross, Tipperary Division",7,5,4,7,5,0
" ","Hospital Co Limerick, Limerick Division",10,12,11,22,16,18
" ","Howth, D.M.R. Northern Division",134,157,167,130,112,81
" ","Indreabhain, Galway Division",16,5,4,9,8,5
" ","Innishannon, Cork West Division",6,8,5,10,4,4
" ","Irishtown, D.M.R. South Central Division",226,181,187,193,162,181
" ","Kanturk, Cork North Division",73,80,79,58,50,35
" ","Keadue, Roscommon/Longford Division",2,6,5,1,0,0
" ","Kealkil, Cork West Division",1,1,2,10,2,5
" ","Keel, Mayo Division",4,4,0,7,4,2
" ","Kells Ceanannus Mor, Meath Division",130,120,124,108,118,60
" ","Kenagh, Roscommon/Longford Division",0,2,4,2,1,0
" ","Kenmare, Kerry Division",74,41,49,46,64,48
" ","Kerrykeel, Donegal Division",26,20,17,11,8,3
" ","Kevin Street, D.M.R. South Central Division",855,902,783,598,532,349
" ","Kilbeggan, Westmeath Division",12,11,10,11,5,10
" ","Kilbrittain, Cork West Division",5,5,2,4,1,0
" ","Kilcock, Kildare Division",50,39,36,62,54,34
" ","Kilconnell, Galway Division",42,55,39,6,23,22
" ","Kilcormac, Laois/Offaly Division",15,15,9,12,11,3
" ","Kilcullen, Kildare Division",68,46,36,12,30,25
" ","Kildare, Kildare Division",110,129,133,108,101,83
" ","Kildorrery, Cork North Division",2,2,7,5,10,3
" ","Kildysart, Clare Division",3,1,0,1,2,3
" ","Kilkee, Clare Division",166,144,162,56,45,29
" ","Kilkelly, Mayo Division",6,7,11,5,13,8
" ","Kilkenny, Kilkenny/Carlow Division",666,949,1041,1004,938,852
" ","Kill, Co Waterford, Waterford Division",5,3,3,2,4,1
" ","Killala, Mayo Division",12,9,16,4,8,4
" ","Killaloe, Clare Division",70,81,96,65,52,45
" ","Killarney, Kerry Division",549,424,543,602,529,489
" ","Killeagh, Cork North Division",20,22,23,6,8,10
" ","Killenaule, Tipperary Division",9,26,14,13,8,11
" ","Killeshandra, Cavan/Monaghan Division",6,11,2,4,2,3
" ","Killimor, Galway Division",13,7,1,2,5,2
" ","Killorglin, Kerry Division",101,50,43,62,41,49
" ","Killucan, Westmeath Division",2,9,11,7,10,8
" ","Kilmacow, Kilkenny/Carlow Division",6,4,3,10,9,3
" ","Kilmacrennan, Donegal Division",13,15,15,19,8,9
" ","Kilmacthomas, Waterford Division",18,26,10,16,10,15
" ","Kilmaine, Mayo Division",4,3,4,4,5,2
" ","Kilmainham, D.M.R. South Central Division",671,655,655,532,485,355
" ","Kilmallock, Limerick Division",83,53,64,55,36,37
" ","Kilmeaden, Waterford Division",13,8,5,4,3,3
" ","Kilmoganny, Kilkenny/Carlow Division",4,2,0,0,2,3
" ","Kilmore Quay, Wexford Division",8,10,4,10,12,6
" ","Kilnaleck, Cavan/Monaghan Division",13,5,18,7,6,16
" ","Kilrickle, Galway Division",6,5,1,2,2,0
" ","Kilrush, Clare Division",88,112,138,97,88,41
" ","Kilsheelan, Tipperary Division",2,5,4,3,4,2
" ","Kiltimagh, Mayo Division",15,21,14,9,8,7
" ","Kiltormer, Galway Division",3,1,0,1,1,2
" ","Kilworth, Cork North Division",8,7,4,6,3,2
" ","Kingscourt, Cavan/Monaghan Division",36,36,30,22,10,10
" ","Kinlough, Sligo/Leitrim Division",7,5,4,4,8,4
" ","Kinnegad, Westmeath Division",39,44,47,32,19,21
" ","Kinnitty, Laois/Offaly Division",3,2,3,1,3,1
" ","Kinsale, Cork West Division",213,150,140,174,133,132
" ","Kinvara, Galway Division",13,7,1,5,8,11
" ","Knock, Mayo Division",3,7,3,4,2,2
" ","Knocknagoshel, Kerry Division",20,16,27,17,22,13
" ","Lanesboro, Roscommon/Longford Division",11,16,14,13,8,6
" ","Laytown, Meath Division",69,99,91,63,47,36
" ","Leach Seoirse, Galway Division",16,24,22,23,31,12
" ","Leamybrien, Waterford Division",2,3,4,13,7,2
" ","Leitir Mor, Galway Division",1,5,2,1,3,3
" ","Leixlip, Kildare Division",219,116,113,101,61,47
" ","Letterfrack, Galway Division",5,14,11,8,3,4
" ","Letterkenny, Donegal Division",1091,927,620,612,569,479
" ","Lifford, Donegal Division",24,18,15,18,14,6
" ","Liscarroll, Cork North Division",2,4,0,2,3,2
" ","Lisdoonvarna, Clare Division",46,15,13,11,9,13
" ","Lismore, Waterford Division",27,21,21,11,10,9
" ","Lissycasey, Clare Division",6,7,4,4,11,5
" ","Listowel, Kerry Division",263,309,300,306,257,220
" ","Littleton, Tipperary Division",9,10,6,6,4,8
" ","Lixnaw, Kerry Division",5,9,8,5,13,6
" ","Longford, Roscommon/Longford Division",244,247,226,227,199,209
" ","Longwood, Meath Division",11,10,5,2,7,5
" ","Lorrha, Tipperary Division",4,5,1,0,4,3
" ","Loughrea, Galway Division",165,158,128,135,87,99
" ","Louisburgh, Mayo Division",8,2,3,0,0,2
" ","Louth, Louth Division",6,7,3,7,7,5
" ","Lucan, D.M.R. Western Division",292,195,200,194,214,159
" ","Lusk, D.M.R. Northern Division",80,68,84,70,57,43
" ","Macroom, Cork West Division",127,132,119,79,70,58
" ","Maigh Cuilinn, Galway Division",2,12,6,5,7,3
" ","Malahide, D.M.R. Northern Division",266,194,165,166,203,83
" ","Mallow, Cork North Division",282,312,282,206,265,209
" ","Manorhamilton, Sligo/Leitrim Division",33,29,20,15,18,18
" ","Mayfield, Cork City Division",160,148,155,147,125,156
" ","Maynooth, Kildare Division",124,137,144,145,166,118
" ","Mayorstone Park, Limerick Division",560,560,520,513,383,322
" ","Midleton, Cork North Division",185,179,154,156,169,176
" ","Milford, Co Cork, Cork North Division",5,9,2,3,3,2
" ","Milford, Co Donegal, Donegal Division",60,30,26,29,29,18
" ","Millstreet, Co. Cork, Cork West Division",27,33,32,20,34,30
" ","Milltown, Galway Division",0,2,0,1,6,0
" ","Miltown Malbay, Clare Division",10,20,22,26,17,16
" ","Mitchelstown, Cork North Division",105,67,58,60,47,27
" ","Moate, Westmeath Division",16,48,31,22,8,15
" ","Mohill, Sligo/Leitrim Division",44,74,45,25,9,7
" ","Monaghan, Cavan/Monaghan Division",341,268,376,350,216,224
" ","Monasterevin, Kildare Division",36,16,23,23,38,18
" ","Moneygall, Tipperary Division",2,7,6,4,1,2
" ","Monivea, Galway Division",6,11,2,0,6,0
" ","Mooncoin, Kilkenny/Carlow Division",16,13,11,23,11,8
" ","Mountbellew, Galway Division",45,21,23,32,13,9
" ","Mountcharles, Donegal Division",16,11,27,9,7,5
" ","Mountjoy, D.M.R. North Central Division",447,439,496,357,383,298
" ","Mountmellick, Laois/Offaly Division",74,47,58,61,39,32
" ","Mountrath, Laois/Offaly Division",18,18,26,10,12,14
" ","Moville, Donegal Division",29,23,25,14,8,9
" ","Moylough, Galway Division",0,5,0,2,1,2
" ","Moyne, Tipperary Division",1,3,1,0,1,0
" ","Muff, Donegal Division",19,19,17,15,5,6
" ","Muine Bheag, Kilkenny/Carlow Division",99,85,92,75,29,19
" ","Mullagh, Cavan/Monaghan Division",8,11,13,8,5,10
" ","Mullinahone, Tipperary Division",4,3,7,7,1,6
" ","Mullinavat, Kilkenny/Carlow Division",5,4,8,5,2,0
" ","Mullingar, Westmeath Division",517,454,489,411,479,480
" ","Multyfarnham, Westmeath Division",2,1,2,1,4,2
" ","Murroe, Limerick Division",8,19,6,6,3,0
" ","Myshall, Kilkenny/Carlow Division",6,4,1,0,2,2
" ","Na Cealla Beaga, Donegal Division",45,29,41,43,35,31
" ","Na Gleannta, Donegal Division",160,96,42,45,43,40
" ","Naas, Kildare Division",317,303,367,252,145,166
" ","Navan, Meath Division",327,382,347,301,309,299
" ","Nenagh, Tipperary Division",143,125,195,185,149,121
" ","New Ross, Wexford Division",174,167,139,128,107,114
" ","Newbridge, Kildare Division",237,183,182,226,157,128
" ","Newcastle West, Limerick Division",141,118,114,132,155,108
" ","Newmarket on Fergus, Clare Division",18,17,30,23,13,11
" ","Newmarket, Cork North Division",67,34,28,30,21,16
" ","Newport, Co Mayo, Mayo Division",23,14,10,9,6,3
" ","Newport, Co Tipperary, Tipperary Division",9,24,18,11,10,13
" ","Newtowncunningham, Donegal Division",31,38,43,24,11,8
" ","Newtownmountkennedy, Wicklow Division",42,19,13,24,17,20
" ","Nobber, Meath Division",9,5,11,10,5,5
" ","Oldcastle, Meath Division",21,20,15,20,23,13
" ","Omeath, Louth Division",13,14,20,24,9,2
" ","Oola, Limerick Division",1,2,1,0,1,0
" ","Oughterard, Galway Division",8,12,5,8,8,5
" ","Oulart, Wexford Division",6,4,5,9,6,3
" ","Oylegate, Wexford Division",2,8,12,5,3,8
" ","Pallasgreen, Limerick Division",7,8,9,8,7,5
" ","Pallaskenry, Limerick Division",2,7,13,11,8,8
" ","Partry, Mayo Division",3,3,2,5,2,0
" ","Passage East, Waterford Division",3,3,5,4,1,3
" ","Passage West, Cork City Division",51,31,29,19,14,18
" ","Patrickswell, Limerick Division",9,11,16,9,8,18
" ","Pearse Street, D.M.R. South Central Division",2960,2380,2520,2851,2167,1795
" ","Pettigo, Donegal Division",0,0,0,1,2,1
" ","Piltown, Kilkenny/Carlow Division",17,7,8,11,6,2
" ","Portarlington, Laois/Offaly Division",79,66,101,74,57,56
" ","Portlaoise, Laois/Offaly Division",323,346,351,233,256,266
" ","Portlaw, Waterford Division",14,10,13,11,8,19
" ","Portmagee, Kerry Division",3,6,1,0,2,5
" ","Portroe, Tipperary Division",2,2,2,3,3,0
" ","Portumna, Galway Division",22,9,8,11,7,9
" ","Raheny, D.M.R. Northern Division",193,226,192,173,111,77
" ","Ramelton, Donegal Division",13,19,18,12,12,8
" ","Raphoe, Donegal Division",33,23,9,10,12,17
" ","Rathangan, Kildare Division",21,7,12,14,13,11
" ","Rathcoole, D.M.R. Western Division",53,46,68,60,72,41
" ","Rathcormac, Co Cork, Cork North Division",17,11,13,14,11,7
" ","Rathdowney, Laois/Offaly Division",25,11,12,12,4,5
" ","Rathdrum, Wicklow Division",19,39,25,23,14,17
" ","Rathfarnham, D.M.R. Southern Division",490,491,357,273,307,258
" ","Rathgormack, Co Waterford, Waterford Division",4,2,0,3,0,2
" ","Rathkeale, Limerick Division",54,57,48,52,41,53
" ","Rathmines, D.M.R. Southern Division",320,253,278,238,156,142
" ","Rathmore, Co Kerry, Cork West Division",14,11,28,19,20,17
" ","Rathmullen, Donegal Division",14,8,16,8,17,7
" ","Rathvilly, Kilkenny/Carlow Division",16,8,1,3,2,9
" ","Rhode, Laois/Offaly Division",6,5,4,7,6,5
" ","Riverstown, Sligo/Leitrim Division",15,7,9,5,2,1
" ","Robertstown, Kildare Division",25,25,48,18,7,4
" ","Rochfortbridge, Westmeath Division",30,25,11,16,27,18
" ","Rockcorry, Cavan/Monaghan Division",2,0,4,4,1,7
" ","Ronanstown, D.M.R. Western Division",326,329,372,330,257,212
" ","Roosky, Roscommon/Longford Division",4,3,3,3,1,0
" ","Ros Muc, Galway Division",0,3,0,8,4,1
" ","Roscommon, Roscommon/Longford Division",133,148,126,87,92,83
" ","Roscrea, Tipperary Division",133,125,108,93,80,59
" ","Rosscarbery, Cork West Division",9,14,6,14,11,5
" ","Rosses Point, Sligo/Leitrim Division",5,3,3,1,2,1
" ","Rosslare Harbour, Wexford Division",17,19,14,22,28,15
" ","Rosslare Strand, Wexford Division",12,9,5,8,16,13
" ","Roundwood, Wicklow Division",4,5,8,6,2,8
" ","Roxboro Road, Limerick Division",529,534,441,458,389,418
" ","Santry, D.M.R. Northern Division",466,490,378,310,273,227
" ","Scariff, Clare Division",9,13,16,31,14,13
" ","Schull, Cork West Division",9,7,9,12,10,11
" ","Scotstown, Cavan/Monaghan Division",4,19,8,11,1,2
" ","Shankill, D.M.R. Eastern Division",309,314,231,177,146,119
" ","Shannon, Clare Division",229,151,159,136,132,134
" ","Shercock, Cavan/Monaghan Division",9,6,10,7,3,7
" ","Shevry, Tipperary Division",1,1,2,0,0,0
" ","Shillelagh, Wicklow Division",5,3,1,3,4,3
" ","Shinrone, Laois/Offaly Division",4,6,5,4,4,3
" ","Shrule, Mayo Division",1,3,4,4,5,1
" ","Sixmilebridge, Clare Division",20,22,33,26,28,18
" ","Skerries, D.M.R. Northern Division",91,122,65,54,39,21
" ","Skibbereen, Cork West Division",91,70,51,44,50,64
" ","Skreen, Sligo/Leitrim Division",1,2,1,0,0,0
" ","Slane, Meath Division",13,21,9,23,2,36
" ","Sligo, Sligo/Leitrim Division",680,597,508,437,494,432
" ","Smear, Roscommon/Longford Division",8,6,2,7,4,0
" ","Sneem, Kerry Division",3,5,3,6,5,2
" ","Sraith Salach, Galway Division",0,1,1,1,0,1
" ","Stoneyford, Kilkenny/Carlow Division",5,0,2,6,3,5
" ","Store Street, D.M.R. North Central Division",2444,1564,1512,1654,1329,1181
" ","Stradbally Co Laois, Laois/Offaly Division",16,41,26,9,23,30
" ","Strokestown, Roscommon/Longford Division",4,7,15,4,4,5
" ","Stuake, Cork West Division",8,3,4,12,6,8
" ","Summerhill, Meath Division",9,7,7,11,12,2
" ","Sundrive Road, D.M.R. Southern Division",308,318,256,152,140,129
" ","Swanlinbar, Cavan/Monaghan Division",3,1,2,6,2,1
" ","Swinford, Mayo Division",62,41,65,55,35,28
" ","Swords, D.M.R. Northern Division",666,656,542,363,301,334
" ","Taghmon, Wexford Division",14,20,16,24,14,7
" ","Tallaght, D.M.R. Southern Division",822,896,948,754,676,656
" ","Tallow, Waterford Division",4,6,2,4,13,8
" ","Tarbert, Kerry Division",8,2,5,5,7,8
" ","Tarelton, Cork West Division",0,1,0,2,4,2
" ","Taughmaconnell, Roscommon/Longford Division",1,0,0,1,0,1
" ","Templederry, Tipperary Division",0,0,2,0,0,0
" ","Templemore, Tipperary Division",69,53,34,39,41,22
" ","Templetuohy, Tipperary Division",5,2,13,2,3,1
" ","Terenure, D.M.R. Southern Division",134,136,113,103,88,76
" ","Thomastown, Kilkenny/Carlow Division",44,47,39,32,33,33
" ","Thurles, Tipperary Division",383,383,306,323,235,195
" ","Timoleague, Cork West Division",12,20,16,19,17,17
" ","Tinahely, Wicklow Division",3,3,2,5,3,5
" ","Tipperary, Tipperary Division",123,147,166,160,201,152
" ","Togher, Cork City Division",224,188,211,188,128,103
" ","Toomevara, Tipperary Division",1,3,2,2,0,1
" ","Tralee, Kerry Division",799,755,966,812,856,626
" ","Tramore, Waterford Division",266,202,147,121,113,125
" ","Trim, Meath Division",192,158,123,95,102,70
" ","Tuam, Galway Division",159,204,180,147,128,119
" ","Tubbercurry, Sligo/Leitrim Division",22,22,22,30,28,26
" ","Tulla, Clare Division",3,18,9,9,5,7
" ","Tullamore, Laois/Offaly Division",374,390,401,365,316,256
" ","Tullow, Kilkenny/Carlow Division",26,43,35,40,49,47
" ","Tulsk, Roscommon/Longford Division",2,3,1,3,2,1
" ","Urlingford, Kilkenny/Carlow Division",29,14,20,22,16,17
" ","Virginia, Cavan/Monaghan Division",43,63,57,30,46,44
" ","Watercourse Road, Cork City Division",489,540,589,519,567,423
" ","Waterford, Waterford Division",1610,1369,1077,950,755,667
" ","Watergrasshill, Cork North Division",4,4,3,2,4,1
" ","Westport, Mayo Division",284,288,269,261,218,159
" ","Wexford, Wexford Division",462,442,326,427,347,308
" ","Whitegate, Cork North Division",12,12,12,14,3,3
" ","Wicklow, Wicklow Division",331,344,257,244,185,134
" ","Williamstown, Galway Division",0,4,7,10,3,0
" ","Woodford, Galway Division",5,5,5,1,2,1
" ","Youghal, Cork North Division",102,99,128,118,149,103
"15 ,Offences against government, justice procedures and organisation of crime"
" ","Abbeyfeale, Limerick Division",1,11,15,5,7,7
" ","Abbeyleix, Laois/Offaly Division",2,1,0,0,5,3
" ","Adare, Limerick Division",0,0,0,0,0,0
" ","Aglish, Waterford Division",0,0,1,0,0,0
" ","Ahascragh, Galway Division",0,2,3,1,0,0
" ","Ailt an Chorraiin, Donegal Division",0,1,0,0,0,1
" ","An Bun Beag, Donegal Division",7,6,3,2,1,1
" ","An Charraig, Donegal Division",0,0,0,0,0,0
" ","An Cheathru Rua, Galway Division",3,0,1,1,1,1
" ","An Clochain Liath, Donegal Division",7,2,4,0,0,1
" ","An Coirean, Kerry Division",0,1,0,0,0,0
" ","An Craoslach, Donegal Division",0,0,0,1,0,1
" ","An Fail Carrach, Donegal Division",1,5,3,0,2,1
" ","An Maim, Galway Division",0,0,0,0,0,0
" ","An Rinn, Waterford Division",0,0,0,1,0,0
" ","An Spideal, Galway Division",0,2,3,2,0,0
" ","Anglesea Street, Cork City Division",533,452,319,303,254,280
" ","Annascaul, Kerry Division",0,0,0,0,0,0
" ","Aran More, Galway Division",5,10,5,13,9,7
" ","Ard an Raitha, Donegal Division",1,2,3,0,2,0
" ","Ardee, Louth Division",5,8,8,4,12,15
" ","Ardfert, Kerry Division",4,0,0,7,0,0
" ","Ardfinnan, Tipperary Division",0,0,0,3,0,2
" ","Ardmore, Waterford Division",0,0,1,0,0,0
" ","Ardnacrusha, Limerick Division",2,1,5,2,5,4
" ","Ardrahan, Galway Division",0,0,2,0,0,0
" ","Arklow, Wicklow Division",87,140,128,98,44,37
" ","Arles, Laois/Offaly Division",0,0,0,1,0,0
" ","Arva, Cavan/Monaghan Division",2,3,0,1,0,0
" ","Ashbourne, Meath Division",3,7,5,11,11,7
" ","Ashford, Wicklow Division",0,0,2,0,3,2
" ","Askeaton, Limerick Division",1,5,0,1,1,20
" ","Athea, Limerick Division",0,0,0,1,1,0
" ","Athenry, Galway Division",6,4,2,10,1,7
" ","Athleague, Roscommon/Longford Division",0,3,0,0,0,2
" ","Athlone, Westmeath Division",59,65,43,43,56,34
" ","Athy, Kildare Division",15,15,10,23,27,17
" ","Aughrim, Wicklow Division",0,0,0,0,1,2
" ","Avoca, Wicklow Division",1,1,0,0,1,0
" ","Baile AÅtha Bui, Meath Division",1,3,3,1,0,0
" ","Baile an FheirtÈaraigh, Kerry Division",1,0,0,0,2,0
" ","Baile Bhuirne, Cork West Division",0,0,0,0,0,0
" ","Bailieboro, Cavan/Monaghan Division",9,15,4,4,0,6
" ","Balbriggan, D.M.R. Northern Division",100,75,85,45,48,39
" ","Balla, Mayo Division",1,0,1,0,0,0
" ","Ballaghderreen, Roscommon/Longford Division",5,4,5,3,4,9
" ","Ballina, Mayo Division",14,7,16,17,11,7
" ","Ballinagh, Cavan/Monaghan Division",0,0,1,0,0,0
" ","Ballinamore, Sligo/Leitrim Division",1,0,1,1,0,1
" ","Ballinasloe, Galway Division",60,67,42,56,47,30
" ","Ballincollig, Cork City Division",9,11,9,6,5,6
" ","Ballindine, Mayo Division",0,1,0,0,0,0
" ","Ballineen, Cork West Division",0,1,1,0,2,0
" ","Ballingarry North, Tipperary Division",0,0,0,0,1,0
" ","Ballingarry South, Tipperary Division",0,1,0,0,0,0
" ","Ballingarry, Limerick Division",1,3,0,2,0,1
" ","Ballinhassig, Cork West Division",0,1,0,0,0,0
" ","Ballinlough, Roscommon/Longford Division",0,0,0,0,1,1
" ","Ballinrobe, Mayo Division",1,0,3,2,1,0
" ","Ballintra, Donegal Division",0,0,0,0,2,4
" ","Ballivor, Meath Division",0,1,2,0,0,0
" ","Ballon, Kilkenny/Carlow Division",0,1,0,1,3,1
" ","Ballybay, Cavan/Monaghan Division",1,3,9,15,5,0
" ","Ballybofey, Donegal Division",3,1,3,3,1,9
" ","Ballybunion, Kerry Division",0,3,1,2,0,0
" ","Ballyconnell, Cavan/Monaghan Division",6,8,6,9,9,4
" ","Ballycotton, Cork North Division",1,1,1,0,0,2
" ","Ballycroy, Mayo Division",0,0,0,0,0,0
" ","Ballycullane, Wexford Division",1,0,1,0,0,0
" ","Ballydehob, Cork West Division",1,0,1,0,0,0
" ","Ballydesmond, Cork West Division",0,0,0,0,0,0
" ","Ballyduff,  Co. Kerry, Kerry Division",7,1,1,0,0,1
" ","Ballyfermot, D.M.R. Western Division",72,69,84,32,27,24
" ","Ballygar, Galway Division",0,0,0,0,0,0
" ","Ballyhale, Kilkenny/Carlow Division",0,0,0,1,1,0
" ","Ballyhaunis, Mayo Division",5,2,2,1,4,0
" ","Ballyheigue, Kerry Division",2,1,1,1,1,0
" ","Ballyjamesduff, Cavan/Monaghan Division",1,1,2,5,1,0
" ","Ballylanders, Limerick Division",1,1,0,3,0,0
" ","Ballylinan, Laois/Offaly Division",6,0,1,1,2,2
" ","Ballymacarberry, Waterford Division",0,1,0,1,0,0
" ","Ballymahon, Roscommon/Longford Division",1,2,1,1,2,0
" ","Ballymore, Westmeath Division",2,1,0,2,0,0
" ","Ballymote, Sligo/Leitrim Division",7,6,4,5,3,3
" ","Ballymun, D.M.R. Northern Division",50,24,23,20,9,23
" ","Ballynacargy, Westmeath Division",0,0,0,0,0,2
" ","Ballyneety, Limerick Division",1,1,1,0,0,2
" ","Ballynoe, Cork North Division",1,1,0,0,0,0
" ","Ballyporeen, Tipperary Division",0,0,1,2,0,2
" ","Ballyshannon, Donegal Division",5,12,16,10,10,12
" ","Ballyvaughan, Clare Division",0,0,0,0,0,0
" ","Baltimore, Cork West Division",0,0,0,0,0,0
" ","Baltinglass, Wicklow Division",7,9,10,11,13,9
" ","Banagher, Laois/Offaly Division",1,0,1,0,1,1
" ","Bandon, Cork West Division",24,38,35,46,43,37
" ","Bangor Erris, Mayo Division",0,0,0,0,0,0
" ","Bansha, Tipperary Division",1,2,1,1,0,1
" ","Bantry, Cork West Division",12,8,4,15,10,13
" ","Barnaderg, Galway Division",1,0,0,2,0,0
" ","Barraduff, Kerry Division",0,0,0,0,0,0
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",1,2,0,0,0,0
" ","BÈal an Mhuirthead, Mayo Division",1,2,3,2,6,2
" ","Belturbet, Cavan/Monaghan Division",0,1,2,4,0,3
" ","Bennettsbridge, Kilkenny/Carlow Division",1,0,0,0,0,0
" ","Birr,  Laois/Offaly Division",11,20,9,6,8,9
" ","Bishopstown, Cork City Division",3,4,4,0,5,11
